,trip,v_avg,v_std,v_a,v_b,v_c,v_d,a_avg,a_std,a_a,a_b,a_c,r_avg,r_std,r_a,r_b,r_c
1,1,23.49,425.99,12,4,3,20,0.77,1.92,9,5,24,1178.08,266839.66,19,17,3
2,2,13.47,305.25,20,1,2,11,1.07,3.5,13,2,19,1032.88,206875.81,23,9,2
3,3,18.07,304.29,11,1,2,13,0.42,0.15,7,6,14,1125.22,256538.91,16,9,2
4,4,26.32,535.2,33,10,14,79,0.66,4.14,34,45,57,1166.75,266764.83,61,67,8
5,5,32.67,689.07,34,3,7,74,0.91,5.62,36,20,62,1300.07,318495.45,39,70,9
6,6,18.59,312.76,7,5,3,12,0.48,0.17,8,4,15,1168.33,208356.74,13,13,1
7,7,25.38,430.48,3,0,0,5,2.0,7.41,2,0,6,1347.0,537373.5,2,5,1
8,8,33.4,336.64,1,0,0,4,3.53,12.67,1,0,4,957.6,443745.04,3,1,1
9,9,24.18,652.72,52,3,5,70,1.03,6.68,36,16,78,1210.04,379331.04,69,42,19
10,10,30.3,681.5,30,9,8,60,0.43,0.63,41,26,40,1218.89,340005.82,43,58,6
11,11,17.57,433.39,4,0,0,3,3.96,32.19,3,0,4,796.29,573573.92,4,3,0
12,12,26.25,695.69,4,0,0,4,2.25,8.25,2,0,6,773.38,551115.98,6,1,1
13,13,11.24,225.47,31,2,3,15,0.35,0.16,19,13,19,947.47,153001.54,35,16,0
14,14,30.8,400.56,1,0,0,4,2.34,3.18,1,0,4,825.4,226145.44,4,1,0
15,15,10.7,239.45,32,1,4,13,0.65,1.5,20,5,25,1014.7,206552.25,34,14,2
16,16,14.83,318.75,19,1,3,13,0.87,2.81,12,5,19,1122.89,279796.43,22,10,4
17,17,14.58,333.4,33,10,6,22,0.95,2.93,16,14,41,1025.51,261880.98,49,18,4
18,18,25.84,607.29,8,0,0,11,3.95,51.98,6,0,13,1067.58,345353.09,11,7,1
19,19,27.33,561.41,10,1,0,16,0.84,1.06,6,2,19,1339.22,393308.1,12,11,4
20,20,34.92,533.44,8,1,2,40,0.53,0.28,10,12,29,1387.24,284638.02,14,33,4
21,21,20.65,525.7,25,2,3,27,0.65,0.45,16,6,35,1203.42,262220.59,30,21,6
22,22,29.7,788.3,43,7,6,75,1.14,10.45,41,27,63,1226.65,310096.24,58,66,7
23,23,15.58,358.58,6,1,0,5,3.54,45.05,4,0,8,966.25,263061.02,9,3,0
24,24,30.0,421.5,1,0,0,3,3.73,14.14,2,0,2,1134.75,124187.19,2,2,0
25,25,15.87,379.0,31,3,5,24,0.52,0.43,26,4,33,1102.7,382090.72,41,16,6
26,26,14.64,294.66,17,2,1,13,0.36,0.12,9,7,17,1055.15,221976.25,21,10,2
27,27,47.5,112.75,0,0,0,4,2.08,3.39,1,0,3,1716.0,111225.0,0,3,1
28,28,18.06,507.21,19,1,1,12,0.47,0.33,16,4,13,1081.3,319199.24,22,8,3
29,29,37.31,555.68,13,1,6,81,0.75,1.64,21,32,48,1372.41,237501.88,21,73,7
30,30,11.86,148.41,5,5,0,4,0.4,0.12,2,6,6,1127.79,279145.74,7,6,1
31,31,0.0,0.0,2,0,0,0,0.0,0.0,2,0,0,789.0,25.0,2,0,0
32,32,38.81,826.3,25,1,7,66,0.84,5.43,27,22,50,1312.18,301913.76,33,60,6
33,33,5.26,116.23,36,2,1,8,0.79,3.39,32,2,13,666.62,314108.62,39,8,0
34,34,26.0,522.57,3,0,0,4,1.93,9.53,3,0,4,977.86,256135.55,4,3,0
35,35,12.97,236.19,20,1,1,15,0.51,0.7,14,5,18,961.7,281642.48,25,12,0
36,36,26.63,383.13,15,3,1,46,0.77,2.16,15,11,39,1215.17,228870.26,24,40,1
37,37,22.75,264.95,17,4,5,42,0.67,1.42,13,15,40,1192.78,204610.52,29,37,2
38,38,36.49,445.57,8,0,1,44,0.92,2.37,5,10,38,1369.81,239494.0,11,39,3
39,39,25.03,229.54,10,8,4,48,0.91,3.51,14,13,43,1255.33,162982.11,22,46,2
40,40,18.9,320.49,4,1,1,4,1.99,3.67,2,1,7,991.5,368400.45,5,5,0
41,41,10.45,235.35,30,5,1,11,0.37,0.21,18,13,16,960.15,133598.89,36,11,0
42,42,22.43,381.96,3,0,0,4,5.16,26.01,1,0,6,1387.14,371692.69,3,3,1
43,43,19.5,442.5,4,0,0,4,3.31,15.69,2,0,6,827.0,150040.25,6,2,0
44,44,15.24,387.91,15,3,1,10,0.58,0.53,8,7,14,1068.55,416847.49,20,6,3
45,45,11.39,197.46,9,3,1,5,0.81,3.32,7,3,8,859.0,366545.89,13,4,1
46,46,30.38,387.24,8,4,4,44,1.28,14.39,8,24,28,1316.7,224285.21,13,44,3
47,47,23.56,285.85,12,10,4,44,0.72,1.65,15,13,42,1235.43,319052.02,29,37,4
48,48,35.86,734.81,13,1,1,43,1.36,17.79,14,9,35,1310.34,388897.64,24,26,8
49,49,22.14,401.73,43,4,6,60,0.72,1.41,32,20,61,1246.85,287725.01,47,56,10
50,50,14.36,253.69,5,1,1,4,0.44,0.15,2,3,6,1049.45,212847.16,5,6,0
51,51,13.17,241.97,7,1,0,4,2.44,7.25,5,0,7,881.67,176833.56,10,2,0
52,52,15.71,205.73,16,3,4,19,1.56,17.46,4,12,26,1083.4,245933.19,20,22,0
53,53,27.76,456.41,10,6,3,35,0.77,2.76,11,13,30,1198.78,242324.06,22,29,3
54,54,11.62,214.33,34,10,4,18,0.52,1.46,27,15,24,1007.36,155500.38,47,19,0
55,55,20.58,394.69,31,3,7,39,0.55,0.46,21,21,38,1225.61,211672.01,35,42,3
56,56,17.95,365.47,33,5,5,36,0.71,4.99,20,20,39,1118.48,237828.1,45,30,4
57,57,23.67,261.19,13,7,5,45,0.83,1.73,14,15,41,1208.83,206067.97,29,37,4
58,58,31.67,464.7,11,1,2,40,1.14,7.51,6,9,39,1347.26,296984.45,18,33,3
59,59,16.98,263.54,18,2,4,22,0.73,1.72,14,8,24,1138.46,251480.68,25,18,3
60,60,0.75,2.69,16,0,0,0,0.04,0.0,12,4,0,773.25,50207.81,15,1,0
61,61,32.28,479.22,12,2,0,39,0.39,0.19,16,12,25,1349.49,220910.06,14,34,5
62,62,37.93,420.37,5,1,1,38,0.92,3.71,11,8,26,1487.44,246831.98,7,33,5
63,63,22.77,330.49,21,6,5,46,0.79,3.45,20,15,43,1254.12,268060.67,33,38,7
64,64,37.41,464.69,7,1,1,45,0.59,0.87,14,9,31,1420.94,178490.57,9,45,0
65,65,29.19,502.45,6,2,2,17,0.65,1.36,7,8,12,1231.26,263127.38,10,16,1
66,66,26.31,655.89,34,7,2,50,0.53,2.55,34,19,40,1197.74,259903.76,43,47,3
67,67,16.58,374.49,12,1,1,10,1.24,4.5,5,3,16,1097.42,241007.41,14,9,1
68,68,20.33,406.22,9,0,1,11,0.57,0.27,7,2,12,1141.05,245044.52,11,10,0
69,69,10.62,134.72,22,9,0,14,1.03,6.53,20,12,13,1040.2,140062.2,30,15,0
70,70,24.48,388.25,7,2,5,15,0.81,1.09,7,6,16,1263.97,229818.45,12,16,1
71,71,5.17,59.03,12,1,3,2,0.3,0.16,8,3,7,864.5,152580.14,13,5,0
72,72,7.73,137.5,37,8,2,13,0.28,0.23,33,10,17,937.52,89849.35,46,14,0
73,73,17.27,302.44,14,2,4,13,0.68,1.01,12,3,18,1098.3,189574.82,20,13,0
74,74,11.58,207.93,24,3,5,13,0.56,1.24,18,9,18,1021.11,149532.28,30,14,1
75,75,16.73,275.5,24,9,6,27,0.94,6.11,16,19,31,1066.8,230269.86,39,26,1
76,76,15.03,303.82,18,6,1,14,0.9,4.77,8,12,19,1135.38,327113.78,23,13,3
77,77,40.57,729.31,9,3,0,35,0.52,0.49,12,13,22,1422.15,247470.08,12,31,4
78,78,19.8,143.56,3,4,1,12,0.38,0.11,3,7,10,1163.9,198676.49,9,10,1
79,79,12.0,287.41,36,4,3,18,0.56,2.47,34,2,25,1002.93,173683.64,44,17,0
80,80,14.79,354.58,11,3,2,8,1.89,28.69,11,1,12,1100.75,262816.27,16,7,1
81,81,27.53,246.35,6,4,5,45,0.6,1.0,13,16,31,1269.97,201601.4,23,35,2
82,82,39.35,476.14,5,1,4,36,1.16,13.63,8,10,28,1456.78,176188.95,8,36,2
83,83,31.71,759.15,30,5,0,54,0.72,5.25,29,19,41,1352.97,314828.1,36,42,11
84,84,2.13,22.72,19,1,3,0,0.07,0.02,18,2,3,907.83,86762.84,16,7,0
85,85,12.09,191.72,11,2,2,7,0.27,0.08,8,6,8,1043.18,138296.6,15,7,0
86,86,17.75,327.44,4,0,0,4,1.84,7.01,3,0,5,782.75,137174.69,7,1,0
87,87,18.5,325.67,9,2,2,11,0.86,1.44,4,3,17,1108.62,300976.82,13,9,2
88,88,21.28,586.67,54,7,3,60,0.47,1.05,49,22,53,1173.35,297149.91,66,48,10
89,89,21.94,429.26,46,12,11,67,0.59,1.22,33,26,77,1169.93,197144.14,65,66,5
90,90,26.92,415.14,16,3,3,40,0.74,1.62,17,9,36,1242.42,225696.24,24,34,4
91,91,14.89,295.75,23,3,2,19,0.35,0.14,18,6,23,1149.57,226072.67,24,20,3
92,92,16.34,322.35,38,10,6,40,0.49,0.58,38,21,35,1113.81,197450.81,51,39,4
