binNum,bin_bz_cp,bin_bz_fs,bin_bz_power,bin_bz_size
0,0.0,0.0,0.0,0.0
1,0.0,0.5,0.0,0.0
2,0.0,1.0,0.0,0.0
3,0.0,1.5,0.0,0.0
4,0.0,2.0,0.0,0.0
5,0.0,2.5,0.0,0.0
6,-0.00173488265863,3.01631272833,-32.045,4.0
7,-0.000808883035846,3.51406639255,-22.314375,16.0
8,0.000783280383977,4.00188980911,34.7566666667,6.0
9,0.00147986509948,4.51495260515,89.8816666667,6.0
10,0.00320572227051,5.01477507097,271.36,2.0
11,0.00166812492799,5.52370026381,186.995,8.0
12,0.00177253218415,6.09096566169,270.13875,8.0
13,0.00196308505843,6.58375420208,374.239,10.0
14,0.00183247758903,7.00827228977,421.555,8.0
15,0.0018937201971,7.50826025972,535.448,10.0
16,0.0019246430489,8.06870816065,674.995384615,13.0
17,0.00191683949289,8.41621590458,759.008,15.0
18,0.0017440988688,8.94450508038,832.426,15.0
19,0.00190284773997,9.49133071848,1086.221,10.0
20,0.00185680200618,10.033522241,1251.684,15.0
21,0.00171785827846,10.5186148395,1334.48083333,12.0
22,0.00157952795884,10.9916808046,1399.94,9.0
23,0.00142856588555,11.4332615798,1424.65357143,14.0
24,0.00129948989973,11.8388412666,1438.904,5.0
25,0.00112837176891,12.5145946202,1474.895,4.0
26,0.0,13.0,1474.895,0.0
27,0.0,13.5,1474.895,0.0
28,0.0,14.0,1474.895,0.0
29,0.0,14.5,1474.895,0.0
30,0.0,15.0,1474.895,0.0
31,0.0,15.5,1474.895,0.0
32,0.0,16.0,1474.895,0.0
33,0.0,16.5,1474.895,0.0
34,0.0,17.0,1474.895,0.0
35,0.0,17.5,1474.895,0.0
36,0.0,18.0,1474.895,0.0
37,0.0,18.5,1474.895,0.0
38,0.0,19.0,1474.895,0.0
39,0.0,19.5,1474.895,0.0
40,0.0,20.0,1474.895,0.0
41,0.0,20.5,1474.895,0.0
42,0.0,21.0,1474.895,0.0
43,0.0,21.5,1474.895,0.0
44,0.0,22.0,1474.895,0.0
45,0.0,22.5,1474.895,0.0
46,0.0,23.0,1474.895,0.0
47,0.0,23.5,1474.895,0.0
48,0.0,24.0,1474.895,0.0
49,0.0,24.5,1474.895,0.0
50,0.0,25.0,1474.895,0.0
